Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0131642143292668,-0.00101855461920026,0.120968817067497,0,0,0,17.7538790248349,0.109513413578879,-3.84263402985455E-06,0.00207222923626091,0.0639718644540958,5.94596039827144E-06,0.0796086142464904,0,0,0,0,0,0,package://biped_gen4.0/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/base_link.STL,,torso-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_arm_pitch,0.0146835191418715,-0.0166604103758634,-6.82857133371129E-05,0,0,0,0.165847319965906,0.0002674432873971,-2.5654089149164E-05,-1.72966133127553E-07,0.000125796784291983,-1.66717296343013E-06,0.000196186976742156,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_pitch.STL,,l_arm_pitch-1,l_arm_roll_pitch_yaw,l_arm_pitch_axis,l_arm_pitch,continuous,-0.0175475823124921,0.254700000000031,0.324500000000024,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
l_arm_roll,0.0222872651779299,0.0156945544195473,-0.0202262244341484,0,0,0,0.141426581413056,0.000160370067223081,6.30811840859269E-06,-1.13259246453495E-05,0.000262365778589962,3.14941259087024E-05,0.00023601403628197,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_roll.STL,,l_arm_roll-2,l_arm_roll_pitch_yaw,l_arm_roll_axis,l_arm_roll,continuous,0,0,0,0,0,0,l_arm_pitch,1,0,0,,,,,,,,,,,,
l_arm_yaw,6.16940440451783E-05,0.00525815062784063,-0.128821944854616,0,0,0,0.147794102819133,7.00575957554699E-05,-6.81658291272877E-10,2.69427050743199E-10,8.53612265336777E-05,6.95899873075699E-06,8.82223899453285E-05,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_arm_yaw.STL,,l_arm_yaw-1,l_arm_roll_pitch_yaw,l_arm_yaw_axis,l_arm_yaw,continuous,0,0,0,0,0,0,l_arm_roll,0,0,-1,,,,,,,,,,,,
l_forearm_pitch,-1.4281929799409E-05,0.00938313949959718,-0.0522687552263489,0,0,0,0.170164726102009,9.558084476069E-05,-4.53863490387433E-08,5.39342118513253E-08,0.000126326373178391,-9.58160032696958E-06,0.000121032474884238,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_forearm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_forearm_pitch.STL,,l_forearm_pitch-1,l_forearm_pitch,l_forearm_pitch_axis,l_forearm_pitch,continuous,0,0,-0.163599999999998,0,0,0,l_arm_yaw,0,-1,0,,,,,,,,,,,,
l_hand_yaw,0.000113133463122583,0.00969227839919062,0.0817960696431681,0,0,0,0.157336288737043,7.64923984145487E-05,8.51098127601464E-09,-1.4070355859132E-08,0.000122231132554914,1.11226968994633E-06,8.44935061342021E-05,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_yaw.STL,,l_hand_yaw-1,l_hand_roll_pitch_yaw,l_hand_yaw_axis,l_hand_yaw,continuous,0,0,-0.191049997298861,0,0,0,l_forearm_pitch,0,0,-1,,,,,,,,,,,,
l_hand_pitch,0.00810609786663821,0.00489663150092601,0.00622488608908427,0,0,0,0.0853891779246004,4.77321490368476E-05,3.05261917457107E-06,4.77827164947654E-06,3.43814769749139E-05,-4.59311499587155E-06,2.49955336560135E-05,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_pitch.STL,,l_hand_pitch-1,l_hand_roll_pitch_yaw,l_hand_pitch_axis,l_hand_pitch,continuous,0,0,0,0,0,0,l_hand_yaw,0,1,0,,,,,,,,,,,,
l_hand_roll,0.0055750097939089,0.00647363667890594,-0.0826245715087526,0,0,0,0.156748589916411,8.04371746531483E-05,2.770174858381E-07,-4.63354764745673E-06,0.000116536814280971,1.04534418501281E-05,0.000111690600253046,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_roll.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/l_hand_roll.STL,,l_hand_roll-1,l_hand_roll_pitch_yaw,l_hand_roll_axis,l_hand_roll,continuous,0,0,0,0,0,0,l_hand_pitch,1,0,0,,,,,,,,,,,,
r_arm_pitch,0.0146743511434554,0.0168298008224051,-8.16711977456031E-05,0,0,0,0.165729466195453,0.000267364314112701,2.58822573731612E-05,-1.74450019197634E-07,0.000125724274127356,1.71810516637517E-06,0.000196179895851995,0,0,0,0,0,0,package://biped_gen4.0/meshes/r_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/r_arm_pitch.STL,,r_arm_pitch-1,r_arm_roll_pitch_yaw,r_arm_pitch_axis,r_arm_pitch,continuous,-0.0175475823119764,-0.254700000000003,0.324500000000024,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
r_arm_roll,0.0223009070030529,-0.0156950170482436,-0.0202307747650334,0,0,0,0.141493827304592,0.00016058853411588,-6.25733649402466E-06,-1.13236198708706E-05,0.000262566981542989,-3.14930415013909E-05,0.000236151535262186,0,0,0,0,0,0,package://biped_gen4.0/meshes/r_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://biped_gen4.0/meshes/r_arm_roll.STL,,r_arm_roll-1,r_arm_roll_pitch_yaw,l_arm_roll_axis,r_arm_roll,continuous,0,0,0,0,0,0,r_arm_pitch,1,0,0,,,,,,,,,,,,
